"type","url"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-segunda-sessao-da-semana-e-aprova-projetos-nas-areas-de-cultura-educacao-e-saude/"
"posts-post","https://camaradesume.pb.gov.br/representantes-da-camara-municipal-de-sume-participam-do-lancamento-do-plano-de-acao-territorial-da-caprinocultura-de-leite-do-cariri-ocidental/"
"posts-post","https://camaradesume.pb.gov.br/diego-galdino-recebe-titulo-de-cidadao-sumeense-em-sessao-solene-da-camara-municipal/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-aprova-emenda-a-lei-organica-e-garante-emendas-impositivas-aos-vereadores/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-audiencia-sobre-a-ldo-e-17a-sessao-ordinaria-com-apresentacao-de-diversas-proposituras/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-18a-sessao-ordinaria-e-se-prepara-para-nova-audiencia-publica-da-ldo-2026/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-aprova-ldo-e-inicia-recesso-parlamentar/"
"posts-post","https://camaradesume.pb.gov.br/14547-2/"
"posts-post","https://camaradesume.pb.gov.br/14552-2/"
"posts-post","https://camaradesume.pb.gov.br/14557-2/"
"posts-post","https://camaradesume.pb.gov.br/14563-2/"
"posts-post","https://camaradesume.pb.gov.br/14571-2/"
"posts-post","https://camaradesume.pb.gov.br/14575-2/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-encerra-primeiro-semestre-de-2025-com-balanco-positivo-e-atuacao-produtiva-dos-vereadores/"
"posts-post","https://camaradesume.pb.gov.br/14606-2/"
"posts-post","https://camaradesume.pb.gov.br/presidente-da-camara-de-sume-participa-da-aula-inaugural-do-curso-de-pedagogia/"
"posts-post","https://camaradesume.pb.gov.br/presidente-da-camara-de-sume-participa-de-reuniao-sobre-restauracao-da-capela-do-assentamento-feijao/"
"posts-post","https://camaradesume.pb.gov.br/vereadores-jeffeson-menezes-e-jane-isa-participam-de-palestra-sobre-cidadania-na-escola-agricola-em-sume/"
"posts-post","https://camaradesume.pb.gov.br/sume-celebra-o-dia-do-evangelico-com-programacao-especial-e-apoio-da-camara-municipal/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-retoma-sessoes-com-produtividade-e-aprova-importantes-projetos/"
"posts-post","https://camaradesume.pb.gov.br/14649-2/"
"posts-post","https://camaradesume.pb.gov.br/vereadores-de-sume-apresentam-propostas-homenagens-e-acoes-em-prol-do-municipio-durante-21a-sessao-ordinaria/"
"posts-post","https://camaradesume.pb.gov.br/vereadores-prestigiam-final-do-campeonato-sumeense-de-futsal-2025/"
"posts-post","https://camaradesume.pb.gov.br/vereadores-de-sume-prestigiam-entrega-de-veiculos-que-reforcam-saude-e-educacao-no-municipio/"
"posts-post","https://camaradesume.pb.gov.br/14684-2/"
"posts-post","https://camaradesume.pb.gov.br/presidente-da-camara-jeffeson-menezes-e-vereador-arymateia-silva-visitam-obras-da-unidade-do-cariri-do-hospital-napoleao-laureano/"
"posts-post","https://camaradesume.pb.gov.br/presidente-jeffeson-e-vereador-damiao-rildo-representam-sume-no-i-encontro-e-capacitacao-de-legislativos-municipais-em-santa-luzia/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-22a-sessao-ordinaria-com-pautas-voltadas-a-saude-cultura-infraestrutura-e-assistencia-social/"
"posts-post","https://camaradesume.pb.gov.br/14713-2/"
"posts-post","https://camaradesume.pb.gov.br/14744-2/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-24a-sessao-com-aprovacao-de-leis-indicacoes-e-votos-de-aplauso/"
"posts-post","https://camaradesume.pb.gov.br/14801-2/"
"posts-post","https://camaradesume.pb.gov.br/14809-2/"
"posts-post","https://camaradesume.pb.gov.br/14817-2/"
"posts-post","https://camaradesume.pb.gov.br/14823-2/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-28a-sessao-ordinaria-de-2025/"
"posts-post","https://camaradesume.pb.gov.br/14943-2/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-mais-uma-sessao-produtiva-com-acoes-voltadas-a-populacao/"
"posts-post","https://camaradesume.pb.gov.br/14962-2/"
"posts-post","https://camaradesume.pb.gov.br/vereadores-jeffeson-menezes-e-dida-alves-se-reunem-com-grupo-de-maes-de-criancas-com-tea-em-sume/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-30a-sessao-e-debate-valorizacao-dos-agentes-de-saude-e-endemias/"
"posts-post","https://camaradesume.pb.gov.br/14984-2/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-31a-sessao-ordinaria-de-2025-com-aprovacao-de-projetos-e-apresentacao-de-requerimentos/"
"posts-post","https://camaradesume.pb.gov.br/camara-de-sume-realiza-audiencia-publica-e-sessao-ordinaria-com-aprovacao-de-diversos-requerimentos/"
"posts-post","https://camaradesume.pb.gov.br/20251126032311/"
"posts-post","https://camaradesume.pb.gov.br/20251125040045/"
"posts-post","https://camaradesume.pb.gov.br/20251121054100/"
"posts-post","https://camaradesume.pb.gov.br/20251121053733/"
"posts-post","https://camaradesume.pb.gov.br/20251121053515/"
"posts-post","https://camaradesume.pb.gov.br/20251121053233/"
"posts-post","https://camaradesume.pb.gov.br/20251121052835/"
"posts-post","https://camaradesume.pb.gov.br/20251121052648/"
"posts-post","https://camaradesume.pb.gov.br/20251121052505/"
"posts-post","https://camaradesume.pb.gov.br/20251121052313/"
"posts-post","https://camaradesume.pb.gov.br/20251121052135/"
"posts-post","https://camaradesume.pb.gov.br/20251121051838/"
"posts-post","https://camaradesume.pb.gov.br/20251121051636/"
"posts-post","https://camaradesume.pb.gov.br/20251121051454/"
"posts-post","https://camaradesume.pb.gov.br/20251121051334/"
"posts-post","https://camaradesume.pb.gov.br/20251121051149/"
"posts-post","https://camaradesume.pb.gov.br/20251121050956/"
"posts-post","https://camaradesume.pb.gov.br/20251121050434/"
"posts-post","https://camaradesume.pb.gov.br/20251121050200/"
"posts-post","https://camaradesume.pb.gov.br/20251121045909/"
"posts-post","https://camaradesume.pb.gov.br/20251121045726/"
"posts-post","https://camaradesume.pb.gov.br/20251121045125/"
"posts-post","https://camaradesume.pb.gov.br/20251121025225/"
"posts-post","https://camaradesume.pb.gov.br/20251121024640/"
"posts-post","https://camaradesume.pb.gov.br/20251121024258/"
"posts-post","https://camaradesume.pb.gov.br/20251121023832/"
"posts-post","https://camaradesume.pb.gov.br/20251121045045/"
"posts-post","https://camaradesume.pb.gov.br/20251121022438/"
"posts-post","https://camaradesume.pb.gov.br/20251121022220/"
"posts-post","https://camaradesume.pb.gov.br/20251121120018/"
"posts-post","https://camaradesume.pb.gov.br/20251119095619/"
"posts-post","https://camaradesume.pb.gov.br/20251114121214/"
"posts-post","https://camaradesume.pb.gov.br/20251114120630/"
"posts-post","https://camaradesume.pb.gov.br/20251112120606/"
"posts-post","https://camaradesume.pb.gov.br/20251112120447/"
"posts-post","https://camaradesume.pb.gov.br/20251112120323/"
"posts-post","https://camaradesume.pb.gov.br/20251112120155/"
"posts-post","https://camaradesume.pb.gov.br/20251112115936/"
"posts-post","https://camaradesume.pb.gov.br/20251112115808/"
"posts-post","https://camaradesume.pb.gov.br/20251112115657/"
"posts-post","https://camaradesume.pb.gov.br/20251112115537/"
"posts-post","https://camaradesume.pb.gov.br/20251112115415/"
"posts-post","https://camaradesume.pb.gov.br/20251112115133/"
"posts-post","https://camaradesume.pb.gov.br/20251112115010/"
"posts-post","https://camaradesume.pb.gov.br/20251112114854/"
"posts-post","https://camaradesume.pb.gov.br/20251112114653/"
"posts-post","https://camaradesume.pb.gov.br/20251112114530/"
"posts-post","https://camaradesume.pb.gov.br/20251112114411/"
